"Timestamp","BallCollision_NumContacts","BallCollision_ForceAmplitude"
4.795,1,9.36439
4.796,1,0.4314
4.797,1,0
4.798,1,0.118492
4.799,1,0
4.8,1,0
4.801,1,0
4.802,1,0
4.803,1,0
4.804,1,0.0140767
4.805,1,0
4.806,1,0
4.807,1,0
4.808,1,0.00934217
4.809,1,0.000536566
4.81,1,0.000506654
4.811,1,0.000394108
4.812,1,0.000290344
4.813,1,0.000606303
4.814,1,0.00109942
4.815,1,0.00128018
4.816,1,0
4.817,1,0.00258745
4.818,1,0.000884246
4.819,1,0
4.82,1,0.00111739
4.821,1,0
4.822,1,0
4.823,1,0.000487168
4.824,1,0.000408838
4.825,1,0.000282755
4.826,1,2.63532e-05
4.827,1,1.30757e-06
4.828,1,0
4.829,1,0
4.83,1,0
4.831,1,0
4.832,1,0.002174
4.833,1,0.000618231
4.834,1,0.00113086
4.835,1,0
4.836,1,0.00287051
4.837,1,0.00119387
4.838,1,0
4.839,1,0.00201253
4.84,1,0.000578982
4.841,1,0
4.842,1,0
4.843,1,0.000448515
4.844,1,0.00152875
4.845,1,0.00182275
4.846,1,0.00186781
4.847,2,0.283851
4.848,2,0.00222897
4.849,2,0.00470807
4.85,2,0.00762308
4.851,2,0.0061911
4.852,2,0.00589757
4.853,2,0.0049357
4.854,2,0.00348985
4.855,2,0.0026435
4.856,2,0.00227271
4.857,2,0.00212101
4.858,2,0.0023001
4.859,2,0.00262642
4.86,2,0.00302383
4.861,2,0.00363945
4.862,2,0.00435663
4.863,2,0.00634049
4.864,2,0.00731979
4.865,2,0.00802965
4.866,2,0.00714636
4.867,2,0.00676901
4.868,2,0.00609599
4.869,2,0.00562571
4.87,2,0.00508652
4.871,2,0.00445258
4.872,2,0.00374938
4.873,2,0.00244351
4.874,2,4.31899e-05
4.875,2,0.000254971
4.876,2,0.000632562
4.877,2,0.000970076
4.878,2,0.00127039
4.879,2,0.00130657
4.88,2,0.0012509
4.881,2,0.013145
4.882,2,0.0222315
4.883,2,0.0162294
4.884,2,0.0143723
4.885,2,0.0134269
4.886,2,0.0126496
4.887,2,0.0119079
4.888,2,0.0111653
4.889,2,0.0104091
4.89,2,0.0096366
4.891,3,0.00594243
4.892,4,2.01478
4.893,4,0
4.894,4,0
4.895,4,0
4.896,4,0
4.897,4,0.00949057
4.898,4,0
4.899,4,1.07457
4.9,4,0
4.901,4,0
4.902,4,0.00151018
4.903,4,0.00329511
4.904,4,0.278016
4.905,4,0.000548996
4.906,4,0.000466802
4.907,4,0.00115198
4.908,4,0.00252183
4.909,4,0.000697904
4.91,4,0.000574699
4.911,4,0.000594518
4.912,4,0.0993329
4.913,4,0.235587
4.914,4,0.373467
4.915,4,0.50264
4.916,4,0.623781
4.917,4,0.737014
4.918,4,0.842471
4.919,4,0.940354
4.92,4,1.03094
4.921,4,1.11456
4.922,4,1.19165
4.923,4,1.26654
4.924,4,1.33614
4.925,4,1.40301
4.926,4,1.46815
4.927,4,1.5305
4.928,4,1.59689
4.929,4,1.66736
4.93,4,1.73688
4.931,4,1.80465
4.932,4,1.8705
4.933,4,1.93408
4.934,4,1.81888
4.935,4,1.72346
4.936,4,1.64322
4.937,4,1.57513
4.938,4,1.51645
4.939,4,1.465
4.94,4,1.41917
4.941,4,1.37781
4.942,4,1.34018
4.943,4,1.30917
4.944,4,1.28145
4.945,4,1.25811
4.946,4,1.23963
4.947,4,1.22591
4.948,4,1.21668
4.949,4,1.21153
4.95,4,1.20986
4.951,4,1.21117
4.952,4,1.21426
4.953,4,1.22216
4.954,4,1.23238
4.955,4,1.24519
4.956,4,1.26089
4.957,4,1.27936
4.958,4,1.30036
4.959,4,1.32352
4.96,4,1.34838
4.961,4,1.37436
4.962,4,1.4007
4.963,4,1.42619
4.964,4,1.44993
4.965,4,1.47117
4.966,4,1.48942
4.967,4,1.50411
4.968,4,1.51497
4.969,4,1.52184
4.97,4,1.52493
4.971,4,1.52466
4.972,4,1.52156
4.973,4,1.51853
4.974,4,1.51377
4.975,4,1.50886
4.976,4,1.50433
4.977,4,1.50028
4.978,4,1.4966
4.979,4,1.49311
4.98,4,1.48955
4.981,4,1.4855
4.982,4,1.48052
4.983,4,1.47501
4.984,4,1.4703
4.985,4,1.46613
4.986,4,1.46307
4.987,4,1.46145
4.988,4,1.46154
4.989,4,1.46344
4.99,4,1.46705
4.991,4,1.47218
4.992,4,1.47845
4.993,4,1.48358
4.994,4,1.49437
4.995,4,1.75735
4.996,4,1.58708
4.997,4,1.63524
4.998,4,1.66168
4.999,4,1.67652
5,4,1.67898
5.001,4,1.67058
5.002,4,1.65335
5.003,4,1.63041
5.004,4,1.60625
5.005,4,1.58451
5.006,4,1.56772
5.007,4,1.5566
5.008,4,1.55114
5.009,4,1.55142
5.01,4,1.55704
5.011,4,1.56703
5.012,4,1.57889
5.013,4,1.5916
5.014,4,1.60671
5.015,4,1.62268
5.016,4,1.63868
5.017,4,1.654
5.018,4,1.66812
5.019,4,1.68066
5.02,4,1.6914
5.021,4,1.71474
5.022,4,1.72158
5.023,4,1.71433
5.024,4,1.71555
5.025,4,1.71483
5.026,4,1.71204
5.027,4,1.70656
5.028,4,1.69815
5.029,4,1.6857
5.03,4,1.6716
5.031,4,1.65449
5.032,4,1.63481
5.033,4,1.61264
5.034,4,1.59006
5.035,4,1.56585
5.036,4,1.54069
5.037,4,1.5157
5.038,4,1.49146
5.039,4,1.46761
5.04,4,1.44457
5.041,4,1.42229
5.042,4,1.40069
5.043,4,1.37852
5.044,4,1.35887
5.045,4,1.34097
5.046,4,1.32409
5.047,4,1.30761
5.048,4,1.29113
5.049,4,1.27437
5.05,4,1.25708
5.051,4,1.23896
5.052,4,1.21974
5.053,4,1.19829
5.054,4,1.17842
5.055,4,1.16181
5.056,4,1.14771
5.057,4,1.13618
5.058,4,1.12711
5.059,4,1.12025
5.06,4,1.11516
